Commodity,Date,Unit,Average Price
Sorghum (brown),2021-08-15,3.5 KG,785.146111111111
Sorghum (brown),2021-09-15,3.5 KG,751.2564705882353
Sorghum (brown),2021-10-15,3.5 KG,707.551875
Sorghum (brown),2021-11-15,3.5 KG,726.3464705882352
Sorghum (brown),2021-12-15,3.5 KG,753.8925
Sorghum (brown),2022-01-15,3.5 KG,888.2244444444445
Sorghum (brown),2022-02-15,3.5 KG,875.6944444444445
Sorghum (brown),2022-03-15,3.5 KG,904.5454545454544
Sorghum (brown),2022-04-15,3.5 KG,927.7905555555556
Sorghum (brown),2022-05-15,3.5 KG,1068.770588235294
Sorghum (brown),2022-06-15,3.5 KG,1329.9693333333337
Sorghum (brown),2022-07-15,3.5 KG,1648.8346666666666
Sorghum (brown),2022-08-15,3.5 KG,2114.505
Sorghum (brown),2022-09-15,3.5 KG,2178.363888888889
Sorghum (brown),2022-10-15,3.5 KG,2048.235294117647
Sorghum (brown),2022-11-15,3.5 KG,1955.2211111111112
Sorghum (brown),2022-12-15,3.5 KG,1967.3794117647055
Sorghum (brown),2023-01-15,3.5 KG,2008.6223529411768
Sorghum (brown),2023-02-15,3.5 KG,2091.256315789474
Sorghum (brown),2023-03-15,3.5 KG,1990.5733333333333
Sorghum (brown),2023-04-15,3.5 KG,2238.0905263157897
Sorghum (brown),2023-05-15,3.5 KG,2922.4034782608696
Sorghum (brown),2023-06-15,3.5 KG,2839.503
Sorghum (brown),2023-07-15,3.5 KG,2973.155
Sorghum (brown),2023-08-15,3.5 KG,3052.475652173913
Sorghum (brown),2023-09-15,3.5 KG,3144.902272727273
